                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.60127,                0.35464,                 1.0238,                0.95037,                0.99473,                0.98801,                0.86687,                0.62372,                0.35863,                 1.1159,              0.0012592,              0.0012592,              0.0012592
                    123,                0.59881,                0.31668,                0.97759,                 0.9673,                0.97995,                0.98962,                0.86828,                0.59568,                0.35677,                 1.0878,              0.0012578,              0.0012578,              0.0012578
                    124,                0.59085,                0.32641,                 1.0139,                0.95108,                0.98947,                0.98555,                0.87672,                 0.6038,                0.33737,                 1.1059,              0.0012564,              0.0012564,              0.0012564
                    125,                0.60283,                0.32641,                0.99208,                0.98009,                0.99616,                0.98889,                 0.8713,                0.63859,                0.36414,                 1.1516,               0.001255,               0.001255,               0.001255
                    126,                0.58134,                0.33083,                 1.0083,                 0.9817,                0.99433,                  0.992,                 0.8833,                0.61372,                0.34165,                 1.1081,              0.0012536,              0.0012536,              0.0012536
                    127,                0.58911,                0.33377,                0.99564,                0.97511,                0.99683,                0.99044,                0.86842,                0.60026,                0.33088,                 1.0876,              0.0012522,              0.0012522,              0.0012522
                    128,                0.56537,                0.32169,                0.98915,                 0.9824,                0.98851,                0.98933,                 0.8606,                0.61966,                 0.3423,                 1.1229,              0.0012507,              0.0012507,              0.0012507
                    129,                0.59725,                0.33204,                0.99168,                0.98259,                0.97648,                0.98909,                0.87962,                 0.6021,                0.35371,                 1.1084,              0.0012493,              0.0012493,              0.0012493
                    130,                0.58682,                0.32526,                  1.011,                0.98356,                0.97636,                0.98958,                0.87454,                0.63931,                0.39749,                 1.1533,              0.0012479,              0.0012479,              0.0012479
                    131,                0.58547,                0.30949,                 1.0113,                0.96675,                0.99566,                0.98744,                0.86483,                0.63979,                0.39006,                 1.1339,              0.0012465,              0.0012465,              0.0012465
                    132,                0.58897,                0.31249,                 1.0102,                 0.9669,                0.98387,                 0.9867,                0.86764,                0.64932,                0.35911,                  1.139,              0.0012451,              0.0012451,              0.0012451
                    133,                0.61959,                0.33438,                 1.0256,                0.96041,                0.97399,                 0.9867,                0.87915,                0.62909,                0.36855,                 1.1108,              0.0012437,              0.0012437,              0.0012437
                    134,                0.57065,                0.31661,                0.98685,                 0.9788,                0.98851,                0.99045,                0.86481,                0.64713,                0.36034,                 1.1365,              0.0012423,              0.0012423,              0.0012423
                    135,                 0.5819,                0.31869,                 1.0111,                  0.854,                0.76667,                 0.7717,                0.65345,                0.70678,                0.47071,                 1.1837,              0.0012408,              0.0012408,              0.0012408
                    136,                0.57919,                0.32103,                 1.0365,                0.94191,                0.72119,                0.75182,                0.64687,                0.71578,                 0.7491,                  1.205,              0.0012394,              0.0012394,              0.0012394
                    137,                0.55876,                0.31103,                0.97882,                0.97344,                0.83889,                0.88814,                0.78628,                0.67456,                0.56428,                  1.188,               0.001238,               0.001238,               0.001238
                    138,                0.58119,                0.30662,                0.99333,                0.98157,                0.91669,                0.93913,                0.83017,                0.66738,                0.54395,                 1.1727,              0.0012366,              0.0012366,              0.0012366
                    139,                0.57498,                0.31261,                0.99969,                0.98015,                0.90375,                0.93623,                0.82874,                0.61945,                0.52266,                 1.1294,              0.0012352,              0.0012352,              0.0012352
                    140,                 0.5634,                0.30889,                 1.0077,                0.95895,                 0.9667,                0.98609,                0.87182,                0.62706,                0.37887,                 1.1224,              0.0012338,              0.0012338,              0.0012338
                    141,                0.59018,                0.31236,                 1.0132,                0.92871,                0.79992,                0.84754,                0.75152,                0.67787,                0.68501,                 1.1713,              0.0012324,              0.0012324,              0.0012324
                    142,                0.57084,                0.29683,                0.98063,                0.98454,                 0.9402,                0.96492,                 0.8553,                0.61019,                0.45746,                 1.1086,              0.0012309,              0.0012309,              0.0012309
                    143,                 0.5613,                0.30322,                0.98537,                 0.9495,                0.95012,                0.98055,                 0.8611,                0.65227,                 0.4653,                 1.1429,              0.0012295,              0.0012295,              0.0012295
                    144,                 0.5721,                0.30177,                0.98908,                0.95175,                0.96592,                0.98753,                0.87848,                0.63055,                0.37664,                  1.116,              0.0012281,              0.0012281,              0.0012281
                    145,                0.55941,                0.30345,                0.98482,                0.95621,                0.59647,                0.68015,                0.62377,                 1.1424,                 1.9009,                 1.5136,              0.0012267,              0.0012267,              0.0012267
                    146,                0.59144,                0.31018,                 1.0174,                0.89753,                0.68136,                0.81185,                0.69716,                0.89919,                 1.2565,                 1.3248,              0.0012253,              0.0012253,              0.0012253
                    147,                0.56934,                0.30456,                0.98321,                 0.9787,                0.99703,                0.99044,                0.87075,                0.63427,                0.33049,                 1.1403,              0.0012239,              0.0012239,              0.0012239
                    148,                0.56929,                 0.3028,                0.99077,                0.97563,                0.98611,                0.99147,                0.88652,                 0.5961,                0.31981,                 1.1171,              0.0012225,              0.0012225,              0.0012225
                    149,                0.57207,                0.30811,                 1.0048,                0.95984,                0.98611,                0.99152,                0.86753,                0.61169,                 0.3418,                 1.1205,               0.001221,               0.001221,               0.001221
                    150,                0.58787,                0.30328,                 0.9881,                0.96429,                0.98889,                0.99204,                0.85908,                0.63905,                0.39694,                 1.1414,              0.0012196,              0.0012196,              0.0012196
                    151,                0.59836,                0.31317,                  1.005,                0.97788,                0.99096,                0.98856,                 0.8752,                 0.6526,                0.35901,                 1.1456,              0.0012182,              0.0012182,              0.0012182
                    152,                0.56369,                0.29579,                 1.0013,                0.96325,                0.99081,                0.98836,                0.87041,                0.63035,                0.34937,                 1.1381,              0.0012168,              0.0012168,              0.0012168
                    153,                0.57532,                0.32332,                 1.0004,                0.98136,                0.99518,                0.98811,                0.88443,                0.59365,                 0.3245,                 1.0976,              0.0012154,              0.0012154,              0.0012154
